SNOMED Procedure,Count,% of Total
Magnetic resonance imaging of calcaneus (procedure),2,0.0
Fluoroscopic angiography of upper limb artery (procedure) (418986003),2,0.0
Percutaneous transjugular biopsy of liver using fluoroscopic guidance (procedure) (432870009),2,0.0
Magnetic resonance imaging of rest perfusion of heart (procedure) (431392001),2,0.0
Biopsy of bone using computed tomography guidance (procedure) (432371004),2,0.0
Ultrasonography of thyroid and parathyroid (procedure),2,0.0
Single photon emission computed tomography using iodine 123 with computed tomography of whole body (procedure),2,0.0
Magnetic resonance imaging of right scapula (procedure) (2561000087106),2,0.0
Fluoroscopy of neck (procedure),2,0.0
Fluoroscopic angiography and embolization of hepatic artery (procedure),2,0.0
Computed tomography cystography (procedure),2,0.0
Magnetic resonance imaging of sacral spine with contrast (procedure) (709527009),2,0.0
Mammogram in compression view (procedure),2,0.0
Pericardiocentesis using fluoroscopic guidance (procedure) (431822000),2,0.0
Gated computed tomography of heart with contrast (procedure),2,0.0
Replacement of peripherally inserted central catheter using fluoroscopic guidance (procedure),2,0.0
Aspiration of wrist using ultrasound guidance (procedure),2,0.0
Fluoroscopic venography and embolization of testicular vein (procedure) (419031005),2,0.0
Ultrasonography in third trimester (procedure) (446353007),2,0.0
Biopsy of thyroid using ultrasound guidance (procedure) (440492007),2,0.0
Biopsy of hip using ultrasound guidance (procedure),2,0.0
Biopsy of salivary gland using ultrasound guidance (procedure),2,0.0
Skeletal X-ray of lower limb (procedure) (5433008),2,0.0
Percutaneous embolization of fistula of caroticocavernous sinus using fluoroscopic guidance (procedure),2,0.0
Percutaneous embolization of renal artery using fluoroscopic guidance (procedure) (439090000),2,0.0
Cardiac electrophysiology (procedure),2,0.0
Computed tomography of whole body with contrast (procedure),2,0.0
Radionuclide imaging of thyroid using technetium radioisotope (procedure),2,0.0
Magnetic resonance imaging of left upper arm with contrast (procedure),2,0.0
Radionuclide ventriculography at cardiac rest (procedure),2,0.0
Magnetic resonance imaging perfusion study of heart (procedure),2,0.0
Single photon emission computed tomography of brain perfusion (procedure),2,0.0
Magnetic resonance imaging venography of inferior vena cava (procedure) (418167005),2,0.0
Insertion of suprapubic catheter using ultrasound guidance (procedure) (432587002),2,0.0
Ultrasound for foreign body localization (procedure) (69610007),2,0.0
Insertion of stent into bile duct using fluoroscopic guidance (procedure),2,0.0
X-ray of whole spine using mobile image intensifier (procedure),2,0.0
Computed tomography of orbit (procedure) (830147001),2,0.0
Dilatation of ureter using fluoroscopic guidance (procedure),2,0.0
Magnetic resonance imaging of floor of mouth with contrast (procedure) (432150001),2,0.0
Fluoroscopic angiography and thrombolysis of lower limb artery (procedure),1,0.0
Magnetic resonance imaging of sacroiliac joints with contrast (procedure) (448718007),1,0.0
Angioplasty of vein graft using fluoroscopic guidance (procedure) (433325002),1,0.0
Diagnostic radiography of nasal bones (procedure) (87411003),1,0.0
Computed tomography of left calcaneum (procedure) (4161000087105),1,0.0
Biopsy of salivary gland using ultrasound guidance (procedure) (438301008),1,0.0
Fluoroscopic fistulography of upper limb (procedure) (433022009),1,0.0
Fluoroscopy of bile duct and insertion of stent (procedure) (419348008),1,0.0
Single photon emission computed tomography with computed tomography of entire skeleton (procedure) (443171000),1,0.0
Computed tomography of thoracic and lumbar spine (procedure) (702487007),1,0.0
Ultrasound elastography (procedure) (448764002),1,0.0
Cone beam computed tomography of nasal sinus (procedure) (718010009),1,0.0
Magnetic resonance imaging of urinary bladder for radiotherapy planning (procedure),1,0.0
Fluoroscopic thoracic myelogram (procedure) (419722002),1,0.0
Fluoroscopic percutaneous balloon test occlusion of anterior cerebral artery (procedure) (439096006),1,0.0
Radionuclide two-phase bone imaging of wrist (procedure) (430266004),1,0.0
Computed tomography of left scaphoid (procedure) (15311000087107),1,0.0
Magnetic resonance imaging of right forearm with contrast (procedure),1,0.0
Computed tomography of chest and abdomen (procedure) (418891003),1,0.0
Ultrasonography of toe (procedure),1,0.0
Aspiration using computed tomography guidance (procedure) (431749009),1,0.0
Removal of ureteric stent using fluoroscopic guidance (procedure) (432813004),1,0.0
Fluoroscopic angioplasty of internal carotid artery (procedure) (419014003),1,0.0
"Computed tomography of head, thorax and abdomen with contrast (procedure)",1,0.0
Computed tomography of head with contrast for radiotherapy planning (procedure),1,0.0
Fluoroscopic angioplasty of celiac artery (procedure) (419987004),1,0.0
Ultrasonography of scapula (procedure),1,0.0
Computed tomography and drainage of pelvis (procedure) (419075009),1,0.0
Removal of tunneled central venous catheter using fluoroscopic guidance (procedure) (431678001),1,0.0
Computed tomography of lower limb with contrast (procedure) (702502001),1,0.0
Thoracentesis using computed tomography guidance (procedure),1,0.0
Percutaneous embolization of external iliac artery using fluoroscopic guidance (procedure) (432495001),1,0.0
Percutaneous microwave ablation of lesion of lung using computed tomography guidance (procedure) (819801000000103),1,0.0
Fluoroscopy of thoracic spine (procedure),1,0.0
Radiolabelled whole body octreotide study (procedure),1,0.0
Fluoroscopic angiography for thrombolysis follow-up (procedure),1,0.0
Single photon emission computed tomography of bone of lumbar spine (procedure) (432662001),1,0.0
Ultrasound doppler flow mapping of artery of lower limb (procedure),1,0.0
Single photon emission computed tomography of dopamine receptor sites of brain using 123I-ioflupane (procedure) (898571000000103),1,0.0
Fluoroscopic angiography of splenic artery (procedure),1,0.0
Fluoroscopic angiography of thoracic aorta using contrast with insertion of stent graft (procedure),1,0.0
Radionuclide two-phase bone imaging of ankle and foot (procedure) (430825006),1,0.0
Fluoroscopy of lower limb (procedure) (418919001),1,0.0
Cerebral venography (procedure),1,0.0
Fluoroscopic angiography and embolization of internal iliac artery (procedure) (418827006),1,0.0
X-ray of skull using mobile image intensifier (procedure),1,0.0
Percutaneous sclerotherapy of venous malformation using fluoroscopic guidance (procedure),1,0.0
Screening mammography of bilateral breasts (procedure),1,0.0
Single photon emission computed tomography using iodine 123 meta-iodobenzylguanidine (procedure),1,0.0
Magnetic resonance imaging of bilateral thighs (procedure),1,0.0
Computed tomography of floor of mouth (procedure),1,0.0
Magnetic resonance imaging of left elbow with contrast (procedure) (2201000087109),1,0.0
Hydrodistension of glenohumeral joint using ultrasound guidance (procedure),1,0.0
Computed tomography stereotactic localization (procedure),1,0.0
Fluoroscopic angiography of dialysis fistula using contrast with insertion of stent (procedure) (431440009),1,0.0
Positron emission tomography with computed tomography myocardial stress imaging using rubidium-82 (procedure),1,0.0
Computed tomography of small intestine (procedure) (441538004),1,0.0
Fluoroscopic parotid sialogram (procedure) (439089009),1,0.0
Fluoroscopic angiography of abdominal aorta (procedure),1,0.0
Computed tomography of mandible and maxilla (procedure) (448770008),1,0.0
Percutaneous drainage of pelvis using computed tomography guidance (procedure),1,0.0
Diffusion tensor magnetic resonance imaging of cerebral nerve tracts (procedure) (448307005),1,0.0
Insertion of stent graft into iliac artery using fluoroscopic guidance (procedure) (440448005),1,0.0
Computed tomography of facial bones with contrast (procedure) (702420007),1,0.0
Percutaneous transluminal insertion of plastic stent into bile duct using fluoroscopic guidance (procedure),1,0.0
Biopsy of right kidney using computed tomography guidance (procedure),1,0.0
Percutaneous transluminal flow diverter embolisation of cerebral aneurysm using fluoroscopic guidance (procedure) (966131000000102),1,0.0
Removal of gastrostomy tube using fluoroscopic guidance (procedure) (433032002),1,0.0
Measurement of wedge pressure of hepatic vein using fluoroscopic guidance (procedure) (826611000000104),1,0.0
Ablation using ultrasound guidance (procedure) (430270007),1,0.0
Magnetic resonance imaging of floor of mouth (procedure) (432153004),1,0.0
Magnetic resonance spectroscopy of head (procedure) (241672000),1,0.0
Injection of bilateral facet joints using fluoroscopic guidance (procedure) (771140001),1,0.0
Magnetic resonance imaging for patella tracking (procedure),1,0.0
Percutaneous aspiration of abdomen using computed tomography guidance (procedure),1,0.0
Fluoroscopic angiography of superior mesenteric artery (procedure),1,0.0
High intensity focused ultrasound ablation of thalamus using magnetic resonance imaging guidance (procedure),1,0.0
Fluoroscopic angiography of superior mesenteric artery using contrast with insertion of stent (procedure),1,0.0
Epidural injection using fluoroscopic guidance (procedure),1,0.0
Isotope static scan lymph node (procedure) (169152000),1,0.0
Fluoroscopic angiography of celiac artery using contrast with insertion of stent (procedure) (431863006),1,0.0
Fluoroscopic angiography of renal artery using contrast with insertion of stent (procedure) (432424009),1,0.0
Extracorporeal shockwave lithotripsy using fluoroscopic guidance (procedure),1,0.0
Computed tomography for measurement of brain volume (procedure),1,0.0
Computed tomography of right scaphoid (procedure) (15301000087105),1,0.0
Computed tomography of toe (procedure),1,0.0
Magnetic resonance imaging of left lower limb (procedure),1,0.0
Fine needle aspiration biopsy of inguinal region using ultrasound guidance (procedure) (449202009),1,0.0
Magnetic resonance imaging of inguinal region (procedure),1,0.0
Endoscopic insertion of stent into pancreatic duct (procedure),1,0.0
Cerebral sinus venography (procedure),1,0.0
Percutaneous measurement of cerebral venous sinus pressure using fluoroscopic guidance (procedure),1,0.0
Magnetic resonance imaging of left upper limb (procedure),1,0.0
Computed tomography of left hand (procedure) (4331000087100),1,0.0
Magnetic resonance imaging of cardiac ventricular volume (procedure),1,0.0
Ultrasonography of scalp (procedure) (432004002),1,0.0
Fluoroscopic angiography of pulmonary artery with pressure measurement (procedure),1,0.0
Magnetic resonance imaging of left wrist with contrast (procedure),1,0.0
Radioisotope scan of bone marrow (procedure),1,0.0
Single photon emission computed tomography with computed tomography hepatobiliary study (procedure) (1099161000000107),1,0.0
Computed tomography of sacroiliac joints (procedure),1,0.0
"Computed tomography of head, thorax, abdomen and pelvis with contrast (procedure) (444674001)",1,0.0
Fluoroscopic arthrography of metacarpophalangeal joint with contrast (procedure),1,0.0
Percutaneous transapical insertion of aortic valve using fluoroscopic guidance (procedure),1,0.0
Fluoroscopic angioplasty of abdominal aorta and femoral arteries (procedure),1,0.0
Radiographic imaging for post mortem skeletal survey (procedure),1,0.0
Percutaneous embolization of splenic artery using fluoroscopic guidance (procedure),1,0.0
Computed tomography of whole body with contrast (procedure) (718527007),1,0.0
Core needle biopsy of breast using magnetic resonance imaging guidance (procedure) (433008009),1,0.0
Fluoroscopic angiography of dialysis fistula using contrast with insertion of stent graft (procedure),1,0.0
Closure of atrial septal defect using fluoroscopic guidance (procedure),1,0.0
Magnetic resonance imaging angiography of coronary arteries (procedure) (419997008),1,0.0
Fluoroscopy of chest (procedure) (38930009),1,0.0
Injection of nerve root of thoracic spine using fluoroscopic guidance (procedure),1,0.0
Fluoroscopy of heart for checking of position of cardiac monitoring implant position (procedure),1,0.0
Percutaneous thrombolysis of dialysis fistula using fluoroscopic guidance (procedure),1,0.0
Local anesthetic block of spinal nerve root using fluoroscopic guidance (procedure) (431928000),1,0.0
Reduction of intestinal intussusception using fluoroscopic guidance (procedure) (433158000),1,0.0
Point of care ultrasonography of thorax (procedure) (1111751000000100),1,0.0
Ultrasound scan of pylorus (procedure),1,0.0
Cardiac septostomy using fluoroscopic guidance (procedure),1,0.0
Cervicothoracic junction X-ray (procedure),1,0.0
"Magnetic resonance imaging of thorax, abdomen and pelvis (procedure)",1,0.0
Fluoroscopic angiography and thrombolysis of upper limb artery (procedure),1,0.0
Magnetic resonance imaging spectroscopy of prostate (procedure),1,0.0
Magnetic resonance imaging of urinary tract (procedure),1,0.0
Insertion of drain into biliary tract using fluoroscopic guidance (procedure),1,0.0
Percutaneous transluminal angioplasty of radial artery using fluoroscopic guidance (procedure) (431210005),1,0.0
Computed tomography of right shoulder with contrast (procedure) (1521000087105),1,0.0
Insertion of drain using fluoroscopic guidance (procedure) (432871008),1,0.0
Magnetic resonance imaging of forefoot (procedure) (433170001),1,0.0
Magnetic resonance imaging of right hip with contrast (procedure),1,0.0
Magnetic resonance imaging of right upper arm with contrast (procedure),1,0.0
Computed tomography parotid gland (procedure),1,0.0
Replacement of jejunostomy tube using fluoroscopic guidance (procedure) (431670008),1,0.0
Single photon emission computed tomography with computed tomography of lung (procedure) (443145004),1,0.0
Biopsy using fluoroscopic guidance (procedure) (430278000),1,0.0
Computed tomography of temporal bone (procedure) (429869002),1,0.0
"Computed tomography of neck, thorax, abdomen and pelvis with oral and intravenous contrast (procedure) (1105231000000100)",1,0.0
Fluoroscopic angiography of splenic artery (procedure) (418503003),1,0.0
Fluoroscopic arthrography of subtalar joint with contrast (procedure),1,0.0
Barium small bowel meal (procedure),1,0.0
Barium meal and follow through (procedure) (241158005),1,0.0
Ultrasonography in second trimester (procedure) (446208007),1,0.0
Single photon emission computed tomography of bone of lumbar spine (procedure),1,0.0
Endoscopic ultrasonography of stomach (procedure) (431841002),1,0.0
Prone stereotactic X-ray guided wire localisation of breast lesion (procedure) (306391000000108),1,0.0
Gastrojejunostomy conversion from gastrostomy using fluoroscopic guidance (procedure),1,0.0
Single photon emission computed tomography using gallium (procedure),1,0.0
Ultrasonography of perineum (procedure) (709590000),1,0.0
Fluoroscopic pharyngography (procedure),1,0.0
Ultrasound scan and drainage of thyroid (procedure) (419777006),1,0.0
Small bowel series with water soluble contrast follow through (procedure) (419773005),1,0.0
Percutaneous transluminal coil embolisation using fluoroscopic guidance (procedure),1,0.0
Radiography of kidney-ureter-bladder (procedure),1,0.0
Bronchoscopy (procedure),1,0.0
Fibrin sheath stripping of tunneled central venous catheter using fluoroscopic guidance (procedure),1,0.0
Computed tomography of right hand (procedure) (4341000087106),1,0.0
Removal of drain using ultrasonographic guidance (procedure) (715283006),1,0.0
Fluoroscopic angiography of carotid artery (procedure) (420171008),1,0.0
Insertion of drain using fluoroscopic guidance (procedure),1,0.0
Computed tomography of head and neck for radiotherapy planning (procedure),1,0.0
Fluoroscopic cystourethrography (procedure) (420225005),1,0.0
Magnetic resonance imaging of adrenal gland with contrast (procedure),1,0.0
Single photon emission computed tomography of tumor (procedure),1,0.0
Single photon emission computed tomography with computed tomography of liver and spleen (procedure),1,0.0
Radionuclide cerebral perfusion stress study (procedure) (431473002),1,0.0
Obstetric magnetic resonance imaging of pelvis (procedure) (826581000000105),1,0.0
Magnetic resonance imaging of left forearm with contrast (procedure) (2321000087107),1,0.0
Radionuclide bone imaging of pelvis (procedure) (433171002),1,0.0
Obstetric magnetic resonance imaging of pelvis (procedure),1,0.0
Endoscopy of ear (procedure),1,0.0
Radionuclide imaging of small intestine for Meckel diverticulum (procedure),1,0.0
Cardiac fluoroscopy (procedure),1,0.0
Pulmonary ventilation study (procedure) (57113004),1,0.0
Magnetic resonance imaging of right wrist with contrast (procedure) (3191000087100),1,0.0
Fluoroscopy of urethra and insertion of stent (procedure) (418256002),1,0.0
Fluoroscopic venography of subclavian vein with contrast and insertion of stent (procedure),1,0.0
"Computed tomography of thorax, abdomen and pelvis with oral contrast (procedure) (726552004)",1,0.0
Magnetic resonance imaging of right hand with contrast (procedure),1,0.0
Ultrasound compression venography of lower limb (procedure) (431785009),1,0.0
Magnetic resonance imaging of upper arm with contrast (procedure) (432215003),1,0.0
Radionuclide liver and spleen imaging procedure (procedure),1,0.0
Single photon emission computed tomography with computed tomography of bone of thorax (procedure),1,0.0
Removal of calculus from bile duct using fluoroscopic guidance (procedure) (432817003),1,0.0
Percutaneous transluminal coil embolization of cerebral aneurysm using fluoroscopic guidance (procedure),1,0.0
Single photon emission computed tomography with computed tomography of bone of ankle and foot (procedure),1,0.0
Biopsy of femur using ultrasound guidance (procedure),1,0.0
Radionuclide imaging of small intestine for Meckel diverticulum (procedure) (431334003),1,0.0
Computed tomography of shoulder with contrast (procedure),1,0.0
Replacement of drainage tube using fluoroscopic guidance (procedure),1,0.0
Magnetic resonance imaging of right ankle with contrast (procedure) (2081000087106),1,0.0
Aspiration of ovarian cyst using ultrasound guidance (procedure),1,0.0
Biopsy of abdomen using ultrasound guidance (procedure) (446595004),1,0.0
Single photon emission computed tomography of bone of ankle and foot (procedure),1,0.0
Percutaneous embolization of internal iliac artery using fluoroscopic guidance (procedure) (431955009),1,0.0
Computed tomography triple phase study of abdomen and pelvis with contrast (procedure),1,0.0
Percutaneous thrombolysis of pulmonary artery using fluoroscopic guidance (procedure) (433240003),1,0.0
Fluoroscopic pouchography (procedure) (419719004),1,0.0
Fine needle aspiration biopsy of breast using ultrasound guidance (procedure) (432337008),1,0.0
Radiographic imaging for post mortem skeletal survey (procedure) (1051351000000100),1,0.0
Magnetic resonance imaging of salivary glands (procedure) (241611001),1,0.0
Diffusion weighted magnetic resonance imaging of prostate (procedure),1,0.0
Percutaneous embolization of bronchial artery using fluoroscopic guidance (procedure) (432798003),1,0.0
Ultrasound doppler flow mapping of vein of upper limb (procedure) (431394000),1,0.0
Percutaneous transluminal polymer embolization of cerebral artery using fluoroscopic guidance (procedure),1,0.0
Fluoroscopic arthrography of knee joint with contrast (procedure),1,0.0
Insertion of stent into transjugular intrahepatic portosystemic shunt using fluoroscopic guidance with contrast (procedure),1,0.0
Magnetic resonance imaging of right clavicle (procedure),1,0.0
Cone beam computed tomography of bone structure of face (procedure) (718286004),1,0.0
Upright stereotactic X-ray guided vacuum assisted biopsy of breast (procedure) (307981000000107),1,0.0
Suprascapular nerve block using ultrasonography guidance (procedure),1,0.0
Replacement of dialysis catheter using fluoroscopic guidance (procedure),1,0.0
Computed tomography of inguinal region (procedure),1,0.0
Fluoroscopic angiography and thrombolysis of upper limb artery (procedure) (419436006),1,0.0
Aspiration of hip using ultrasound guidance (procedure) (432237005),1,0.0
Insertion of external drain into biliary tract using fluoroscopic guidance (procedure) (433307009),1,0.0
Fluoroscopic antegrade pyelography (procedure),1,0.0
Fluoroscopic ileal conduitography (procedure),1,0.0
Single photon emission computed tomography using dimercaptosuccinic acid with computed tomography of kidney (procedure),1,0.0
Ultrasonography of arteriovenous fistula (procedure) (445867003),1,0.0
Core needle biopsy of breast using magnetic resonance imaging guidance (procedure),1,0.0
Insertion of tunnelled drain into abdomen using fluoroscopic guidance (procedure),1,0.0
Fluoroscopic angioplasty of superior mesenteric artery (procedure) (418066004),1,0.0
Magnetic resonance imaging of spinal cord (procedure) (445946004),1,0.0
Magnetic resonance imaging of head for radiotherapy planning (procedure) (432022004),1,0.0
Magnetic resonance imaging of lumbar spine and sacroiliac joints (procedure),1,0.0
Aspiration of hip using ultrasound guidance (procedure),1,0.0
Fluoroscopic angiography of pulmonary arteries (procedure) (418549007),1,0.0
Percutaneous arterial and venous embolization of cerebral arteriovenous malformation using fluoroscopic guidance (procedure) (438822008),1,0.0
Percutaneous transluminal angioplasty of ulnar artery using fluoroscopic guidance (procedure),1,0.0
Digital slit-beam radiograph of leg length (procedure) (241599006),1,0.0
Computed tomography of neck and thorax (procedure) (430448007),1,0.0
Injection of wrist using fluoroscopic guidance (procedure) (432879005),1,0.0
Diffusion weighted magnetic resonance imaging of internal auditory meatus (procedure) (911821000000101),1,0.0
Fluoroscopic venography of transjugular intrahepatic portosystemic shunt stent using contrast (procedure) (431726007),1,0.0
Insertion of internal and external drain into biliary tract using fluoroscopic guidance (procedure) (434289001),1,0.0
Biopsy of chest using ultrasound guidance (procedure) (446843003),1,0.0
Fluoroscopic angiography of pulmonary arteries (procedure),1,0.0
Ultrasonography of cervical spine (procedure),1,0.0
Diffusion weighted magnetic resonance imaging (procedure) (440408002),1,0.0
Single photon emission computed tomography of bone of lower leg (procedure) (432392004),1,0.0
Ultrasound scan of diaphragm (procedure),1,0.0
Positron emission tomography with computed tomography of whole body using choline C-11 (procedure),1,0.0
Magnetic resonance imaging of elbow with contrast (procedure) (432151002),1,0.0
Fluoroscopy of right lower limb (procedure) (81000087109),1,0.0
Ultrasonography of rib (procedure) (432003008),1,0.0
Ultrasonography of thoracic spine (procedure),1,0.0
Magnetic resonance imaging angiography of entire blood vessel (procedure),1,0.0
Injection of lumbar spinal nerve root using computed tomography guidance (procedure),1,0.0
Echocardiography (procedure) (40701008),1,0.0
Computed tomography of left atrial appendage with contrast (procedure),1,0.0
Ultrasonography of bilateral thighs (procedure),1,0.0
Magnetic resonance imaging of fetus (procedure),1,0.0
Magnetic resonance imaging of abdominal aorta (procedure),1,0.0
Fluoroscopic angiography and embolization of mesenteric artery (procedure),1,0.0
Replacement of tunneled central venous catheter using fluoroscopic guidance (procedure),1,0.0
Percutaneous sclerotherapy of lymphatic malformation using fluoroscopic guidance (procedure) (443381006),1,0.0
Magnetic resonance imaging of calcaneus (procedure) (432653003),1,0.0
Fluoroscopic angiography of right side of heart for oxygen saturation measurement (procedure) (431597008),1,0.0
Biopsy of tibia and fibula using fluoroscopic guidance (procedure),1,0.0
Insertion of peritoneal dialysis catheter using fluoroscopy guidance (procedure),1,0.0
Prone stereotactic X-ray guided vacuum assisted biopsy of breast (procedure),1,0.0
Ultrasonography of multiple pregnancy for fetal anomaly (procedure) (445866007),1,0.0
Barium small bowel meal (procedure) (419344005),1,0.0
Fluoroscopy of thumb (procedure),1,0.0
Computed tomography shoulder region structure (procedure) (303686006),1,0.0
Fluoroscopic angiography of internal iliac artery (procedure),1,0.0
Fluoroscopic lumbar myelogram (procedure),1,0.0
Radionuclide two-phase bone imaging of pelvis (procedure),1,0.0
Magnetic resonance imaging guided biopsy (procedure),1,0.0
Percutaneous embolization of pulmonary artery using fluoroscopic guidance (procedure) (432302005),1,0.0
Gastrointestinal tract loopogram (procedure) (241171008),1,0.0
Injection of left facet joint using fluoroscopic guidance (procedure),1,0.0
Replacement of pulse generator of permanent cardiac pacemaker using fluoroscopic guidance (procedure),1,0.0
Removal of cardiac monitoring implant using fluoroscopic guidance (procedure),1,0.0
Computed tomography for measurement of brain volume (procedure) (443601000),1,0.0
Ablation using computed tomography guidance (procedure) (430269006),1,0.0
Ultrasonography of symphysis pubis (procedure) (432855008),1,0.0
Fluoroscopic cystourethrography (procedure),1,0.0
Radiography of nasopharynx (procedure) (37307009),1,0.0
Fluoroscopic angiography of abdominal aorta using contrast with insertion of fenestrated tube stent graft (procedure) (434376005),1,0.0
Biopsy of soft tissue using fluoroscopic guidance (procedure),1,0.0
Injection of sclerosing agent into vein using fluoroscopic guidance (procedure) (432732000),1,0.0
Biopsy of heart using fluoroscopic angiography guidance with contrast (procedure),1,0.0
Diffusion weighted magnetic resonance imaging of brain (procedure),1,0.0
Insertion of drain into pericardium using fluoroscopic guidance (procedure),1,0.0
Computed tomography of head and neck and thorax and abdomen with contrast (procedure) (448760006),1,0.0
Percutaneous transluminal atherectomy using fluoroscopic guidance (procedure) (431759005),1,0.0
Fluoroscopic angiography of common iliac artery using contrast with insertion of stent (procedure),1,0.0
Magnetic resonance imaging of right hip with contrast (procedure) (2421000087102),1,0.0
Fluoroscopic arthrography of elbow joint with contrast (procedure),1,0.0
Fluoroscopic venography of lower limb (procedure) (418881009),1,0.0
Doppler ultrasonography of superior mesenteric artery (procedure),1,0.0
Dilatation of pyloric stenosis using fluoroscopic guidance (procedure),1,0.0
Magnetic resonance arthrography of left knee (procedure),1,0.0
Computed tomography with contrast enema (procedure),1,0.0
Magnetic resonance imaging of craniofacial structure (procedure) (438834000),1,0.0
Percutaneous transluminal angioplasty of tibial artery using fluoroscopic guidance (procedure),1,0.0
Scintimammography (procedure),1,0.0
Radionuclide study for small bowel transit time (procedure),1,0.0
Magnetic resonance imaging angiography of abdominal visceral artery (procedure) (863876009),1,0.0
Thoracic inlet X-ray (procedure) (168600009),1,0.0
Percutaneous aspiration of pelvis using computed tomography guidance (procedure),1,0.0
Fluoroscopy of heart for checking of permanent pacemaker position (procedure),1,0.0
Replacement of biliary drain using fluoroscopic guidance (procedure) (431845006),1,0.0
Aspiration of foot using ultrasound guidance (procedure),1,0.0
Biopsy of knee using ultrasound guidance (procedure),1,0.0
Dilatation of transjugular intrahepatic portosystemic shunt stent using fluoroscopic guidance (procedure) (433157005),1,0.0
Fluoroscopy of esophagus (procedure) (169005008),1,0.0
Ultrasonography of vocal cord (procedure),1,0.0
Fine needle aspiration and core needle biopsy of axilla using ultrasound guidance (procedure) (431732002),1,0.0
Biopsy of pelvis using computed tomography guidance (procedure),1,0.0
Percutaneous removal of calculus from renal pelvis by incision using fluoroscopic guidance (procedure),1,0.0
Insertion of apheresis catheter using fluoroscopic guidance (procedure),1,0.0
Fluoroscopic angiography of pelvic vascular structure (procedure),1,0.0
Fluoroscopy of heart for checking of cardiac pacemaker electrode position (procedure),1,0.0
Magnetic resonance imaging of hand with contrast (procedure) (432000006),1,0.0
Barbotage of shoulder using ultrasonography guidance (procedure),1,0.0
Radiofrequency ablation of lesion of lung using computed tomography guidance (procedure),1,0.0
Magnetic resonance imaging of right shoulder with contrast (procedure),1,0.0
Magnetic resonance imaging of perineum (procedure) (448351001),1,0.0
Cone beam computed tomography of spine (procedure),1,0.0
Radiofrequency ablation of nerve of sacroiliac joint using fluoroscopic guidance (procedure),1,0.0
Radionuclide imaging of bone of upper limb (procedure) (433131007),1,0.0
Insertion of magnetic marker into right breast using ultrasonographic guidance (procedure),1,0.0
Magnetic resonance imaging of heart and liver for assessment of cardiac and hepatic iron load (procedure),1,0.0
Magnetic resonance imaging of temporomandibular joint with contrast (procedure),1,0.0
Percutaneous embolization of splenic artery using fluoroscopic guidance (procedure) (432377000),1,0.0
Fine needle aspiration using ultrasound guidance (procedure) (444945007),1,0.0
X-ray of zygoma (procedure),1,0.0
Insertion of implantable venous access port using fluoroscopic guidance (procedure) (847721000000104),1,0.0
Insertion of magnetic marker into right breast using digital tomosynthesis guidance (procedure),1,0.0
Computed tomography of lumbosacral spine for radiotherapy planning (procedure) (715290001),1,0.0
Ultrasonography of midfoot (procedure),1,0.0
Drainage of left breast using ultrasonographic guidance (procedure),1,0.0
Percutaneous transluminal stent assisted coil embolization of cerebral aneurysm using fluoroscopic guidance (procedure),1,0.0
Radionuclide lacrimal flow study (procedure),1,0.0
Percutaneous transluminal embolisation of cerebral aneurysm using fluoroscopic guidance (procedure),1,0.0
Injection of cervical zygapophyseal joint using computed tomography guidance (procedure),1,0.0
Insertion of intra-aortic balloon pump using fluoroscopic guidance (procedure),1,0.0
Radiography of nasal sinuses (procedure),1,0.0
Embolization of ovarian vein using fluoroscopic guidance (procedure),1,0.0
Thoracic inlet X-ray (procedure),1,0.0
Computed tomography angiography of subclavian artery (procedure),1,0.0
X-ray of teeth in oblique lateral view (procedure),1,0.0
Fluoroscopic angiography of celiac artery (procedure),1,0.0
Magnetic resonance imaging of right wrist with contrast (procedure),1,0.0
Magnetic resonance imaging of clavicle (procedure) (418917004),1,0.0
Insertion of catheter into cardiac ventricle for stimulation using fluoroscopy guidance (procedure) (433154003),1,0.0
Trans-arterial hepatic radioembolization using yttrium-90 microspheres (procedure) (438415006),1,0.0
Computed tomography of entire aorta with contrast (procedure) (444969006),1,0.0
Post-therapy bremsstrahlung imaging (procedure),1,0.0
Insertion of magnetic marker into right breast using stereotactic mammography guidance (procedure),1,0.0
Fluoroscopic angiography and embolization of hepatic artery (procedure) (418220000),1,0.0
Fluoroscopic angiography of hepatic artery (procedure),1,0.0
Magnetic resonance imaging arthrography of wrist (procedure) (241652005),1,0.0
Dilatation of bile duct using fluoroscopic guidance (procedure),1,0.0
Sphincterotomy of sphincter of Oddi by endoscopic retrograde cholangiopancreatography (procedure) (37403009),1,0.0
Fluoroscopic cerebral ventriculography (procedure) (419157006),1,0.0
Magnetic resonance imaging of abdominal aorta (procedure) (241668004),1,0.0
Ultrasonography of sternoclavicular joint (procedure) (432856009),1,0.0
Positron emission tomography with computed tomography gallium 68 prostate specific membrane antigen imaging of cranial vertex to mid-thigh (procedure),1,0.0
Injection of shoulder using fluoroscopic guidance (procedure) (431459006),1,0.0
Ultrasound scan of pancreas (procedure) (277668001),1,0.0
Computed tomography and biopsy of pelvis (procedure) (419341002),1,0.0
Insertion of non-tunnelled central venous catheter using fluoroscopic guidance (procedure),1,0.0
Ultrasonography of supraclavicular fossa (procedure) (431767002),1,0.0
Magnetic resonance cholangiopancreatography with contrast (procedure) (430272004),1,0.0
Aspiration of elbow using ultrasound guidance (procedure),1,0.0
